Title,Body,Labels,Milestone,Assignee
"EPIC: Relatórios gerenciais e diagnósticos","Implementar relatórios para professores e gestores com visão de desempenho por aluno, por turma e por conteúdo, apoiando avaliação diagnóstica.","tipo:epic,area:relatorios,fase:implementacao","M6 - Versão 3 – Relatórios Gerenciais (Mar/2024)",
"Implementação de relatórios para professores","Criar relatórios de desempenho individual e da turma, destacando lacunas de aprendizado por conteúdo e evolução ao longo do tempo.","tipo:feature,area:relatorios,fase:implementacao","M6 - Versão 3 – Relatórios Gerenciais (Mar/2024)",
"Implementação de relatórios para gestores","Desenvolver visão agregada para gestor escolar ou rede, com indicadores de uso da plataforma e desempenho por escola/turma.","tipo:feature,area:relatorios,fase:implementacao","M6 - Versão 3 – Relatórios Gerenciais (Mar/2024)",
"EPIC: Coleta e armazenamento de dados para ML","Garantir que os dados de interação dos alunos sejam coletados e armazenados de forma estruturada e anonimizada para futura aplicação de machine learning.","tipo:epic,area:ml,fase:implementacao","M5 - Versão 2 – Quiz + Publicação (Jan/2024)",
"Modelagem de dados para análise de aprendizagem","Definir esquema de banco de dados para armazenar respostas, tempos de resolução, dificuldade das questões e metadados de uso.","tipo:documentação,area:ml,fase:implementacao","M5 - Versão 2 – Quiz + Publicação (Jan/2024)",
"EPIC: Machine Learning (fase 1 – preparação)","Preparar base de dados, pipelines e primeiros experimentos para modelos de recomendação ou análise de padrões de aprendizagem, mesmo que em caráter exploratório.","tipo:epic,area:ml,fase:pesquisa","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"Experimentação inicial de modelos de ML","Executar experimentos exploratórios com dados coletados para identificar padrões básicos de acerto/erro e tempo de resposta por conteúdo.","tipo:tarefa,area:ml,fase:pesquisa","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"EPIC: Testes de usuários e piloto em escolas","Conduzir testes com alunos e professores em escolas municipais, coletando feedback sobre usabilidade, engajamento e aderência à realidade da sala de aula.","tipo:epic,area:plataforma,area:pedagogico,fase:validacao","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"Execução do piloto em Vitória da Conquista","Implementar a plataforma em escolas selecionadas no município de Vitória da Conquista, acompanhando uso e resolvendo problemas operacionais.","tipo:tarefa,area:plataforma,area:pedagogico,fase:validacao","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"Coleta e análise de feedback de professores e alunos","Aplicar questionários e entrevistas para avaliar a percepção de valor, dificuldades de uso e sugestões de melhoria.","tipo:tarefa,area:pedagogico,fase:validacao","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"EPIC: Capacitação de professores","Desenvolver e aplicar um plano de formação para capacitar professores no uso da plataforma gamificada e na interpretação dos relatórios.","tipo:epic,area:pedagogico,fase:implementacao","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"Elaboração de materiais de formação","Criar tutoriais, guias rápidos e vídeos demonstrativos para apoiar a adoção da plataforma pelos docentes.","tipo:documentação,area:pedagogico,fase:implementacao","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"Oficinas de capacitação com professores","Realizar encontros síncronos (presenciais ou online) para demonstrar a plataforma e orientar quanto ao uso em sala de aula e fora dela.","tipo:tarefa,area:pedagogico,fase:implementacao","M8 - Testes, Piloto e Validação (Jun/2023–Mai/2024)",
"EPIC: Versão Final – Aplicação Web Mobile","Consolidar todas as funcionalidades planejadas para a versão final da aplicação, corrigindo bugs, refinando UX e preparando ambiente para escala.","tipo:epic,area:plataforma,fase:implementacao","M7 - Versão Final – Web Mobile (Abr/2024)",
"Hardening e correção de bugs críticos","Tratar problemas de performance, segurança e estabilidade identificados durante o piloto e testes de carga.","tipo:tarefa,area:plataforma,fase:implementacao","M7 - Versão Final – Web Mobile (Abr/2024)"
